metric,metric_std
Acidification potential,Acidification potential
Acidification potential per unit of product (LCA approach),Acidification potential (product based)
Ratio of ammonia emissions to average daily gain (%),Ammonia emission from livestock
NH3 emissions,Ammonia emission from livestock
Ammonia concentration and volatility,Ammonia emission from manure
Ammonia emissions,Ammonia emission from manure
NH3,Ammonia emission from manure
NH3 emission,Ammonia emission from manure
NH3 emission factor,Ammonia emission from manure
NH3 emissions,Ammonia emission from manure
Ammonia-N loss,Ammonia emission from manure
NH3_N,Ammonia emission from manure
NH3 emission in terms of cumulative NH3-N losses as a proportion of the TN of the initial composting material,Ammonia emission from manure
% change in NH3 volatilization,Ammonia emission from soil
NH3 emissions,Ammonia emission from soil
Cumulative NH3 losses (% N applied),Ammonia emission from soil
NH3 volatilization (% of N applied),Ammonia emission from soil
Mean NH3 volatilization rate (kg/ha),Ammonia emission from soil
NH3 emission,Ammonia emission from soil
NH3 emission factor,Ammonia emission from soil
NH3 volatilization (cumulative emission during a cropping cycle or the entire growing season of a year),Ammonia emission from soil
% of N applied lost as NH3,Ammonia emission from soil
NH3 volatilization,Ammonia emission from soil
NH3-N volatilization as % of N applied,Ammonia emission from soil
Average daily gain,Average daily gain
Dry matter intake,Dry matter intake
N-NH3 emission,Ammonia emission from soil
Ammonia emission per unit of area,Ammonia emission from soil
Ammonia emission,Ammonia emission from soil
Ammonia volatilization,Ammonia emission from soil
NH3 intensity (i.e. NH3 emission per crop yield unit),Ammonia emission from soil (product based)
Ammonia emission per unit of product,Ammonia emission from soil (product based)
H2S emissions,Hydrogen sulfide emission from livestock
Hydrogen sulfide emissions,Hydrogen sulfide emission from livestock
Animal production per hectare,Animal production
Dry matter intake (DMI),Dry matter intake
Fat-corrected milk,Fat corrected milk
Feed efficiency,Feed conversion efficiency
Feed conversion efficiency,Feed conversion efficiency
Milk production,Milk production
Milk yield,Milk production
Milk protein yield,Milk protein yield
Ratio of gain to feed intake,Ratio of gain to feed intake
Gain to feed ratio,Ratio of gain to feed intake
Energy use,Energy use
Eutrophication potential,Eutrophication potential
CH4 (% of DEI),Methane emission from enteric fermentation
CH4 (% of GEI),Methane emission from enteric fermentation
CH4 (% of MEI),Methane emission from enteric fermentation
CH4 (g/d),Methane emission from enteric fermentation
CH4 (g/kg DMI),Methane emission from enteric fermentation
CH4 (MJ/d),Methane emission from enteric fermentation
CH4 (MJ/kg 4% FCM),Methane emission from enteric fermentation
CH4 (MJ/kg milk fat),Methane emission from enteric fermentation
CH4 (MJ/kg milk protein),Methane emission from enteric fermentation
CH4 emissions (mmol/d),Methane emission from enteric fermentation
CH4 emissions (mmol/g DOM),Methane emission from enteric fermentation
CH4 production/DMI,Methane emission from enteric fermentation
CH4/Dry matter intake,Methane emission from enteric fermentation
CH4 production (g/d),Methane emission from enteric fermentation
CH4 yield (g/d),Methane emission from enteric fermentation
Methane production (g/day),Methane emission from enteric fermentation
CH4 yield (g/kg DMI),Methane emission from enteric fermentation
CH4 intensity (g/kg FPCM),Methane emission from enteric fermentation
CH4 production(L/d),Methane emission from enteric fermentation
CH4/Body weight,Methane emission from enteric fermentation
CH4 emissions/digested organic matter,Methane emission from enteric fermentation
CH4/digested organic matter,Methane emission from enteric fermentation
"Heat stress, stock productivity and heath, milk production and quality",Animal production parameters
CH4 emissions/dry matter substrate,Methane emission from enteric fermentation
CH4/milk,Methane emission from enteric fermentation
Methane production pero dry matter (g CH4/kg DM),Methane emission from enteric fermentation
Methane production g/kg DMI,Methane emission from enteric fermentation
CH4 emissions,Methane emission from enteric fermentation
Weight gain,Weight gain
Ratio between: Antibiotic resistance genes (ARG) and mobile genetic elements (MGE). (ARG/MGE),Ratio of antibiotic resistance genes and mobile genetic elements
aboveground biomass,Aboveground biomass
Abundance,Species abundance
"Abundance (abundance, density, catch-per-unit effort, relative ratio of abundance/density, counts, number of individuals)",Species abundance
Abundance was considered as the total number of individuals for the study as well as the totals per trophic guild and per sampling unit.,Species abundance
All non-vascular plants richness,All non-vascular plants richness
"Animal assemblage (abundance, diversity and fitness)","Animal assemblage (abundance, diversity and fitness)"
Aranae abundance and density,Aranae abundance and density
Arthropod abundance,Arthropod abundance
Arthropod decomposer abundance,Arthropod decomposer abundance
Arthropod decomposer species richness,Arthropod predator abundance
Arthropod predator abundance,Arthropod predator abundance
Arthropod predator species richness,Arthropod predator species richness
Artropods density,Artropods density
Artropods richness,Artropods species richness
Aves and Arthropoda abundance,Aves and Arthropoda abundance
Aves and Arthropoda richness,Aves and Arthropoda richness
Benthos abundance,Benthos abundance
Biodiversity,Biodiversity
